triples,k,mode,memory_usage
12,7,js,23012.4248
13,7,js,27555.4912
14,7,js,30937.893600000003
15,7,js,43858.8392
16,7,js,56599.0952
2,8,js,117.41760000000001
3,8,js,149.86
4,8,js,367.58320000000003
5,8,js,1264.1288
6,8,js,3867.2216000000003
7,8,js,11997.3984
8,8,js,12169.8768
9,8,js,16264.8904
10,8,js,20409.808800000003
11,8,js,17033.712
12,8,js,22915.4768
13,8,js,28639.0392
14,8,js,36975.7312
15,8,js,54935.499200000006
2,9,js,130.076
3,9,js,152.204
4,9,js,333.57759999999996
5,9,js,1222.1368
6,9,js,3611.7648
7,9,js,11385.140800000001
8,9,js,12111.6096
9,9,js,9389.6616
10,9,js,16253.4376
11,9,js,18580.412800000002
12,9,js,22123.0552
13,9,js,27316.033600000002
14,9,js,40972.5952
15,9,js,58979.7824
2,10,js,129.8152
3,10,js,182.86079999999998
4,10,js,359.4808
5,10,js,1259.8648
6,10,js,3777.876
7,10,js,11606.742400000001
8,10,js,10591.0016
9,10,js,14638.04
10,10,js,14409.278400000001
11,10,js,18686.216800000002
12,10,js,21804.764
13,10,js,27170.0736
14,10,js,41339.3416
15,10,js,67894.364
